Classe;cor;cod
1. Floresta;#129912;1
1.1. Floresta Natural;#1F4423;2
1.1.1. Formação Florestal;#006400;3
1.1.2. Formação Savânica;#32CD32;4
1.1.3. Mangue;#687537;5
;#76A5AF;6
;#29EEE4;7
;#77A605;8
1.2. Floresta Plantada;#935132;9
2. Formação Natural não Florestal;#BBFCAC;10
2.1. Área Úmida Natural não Florestal;#45C2A5;11
2.2. Formação Campestre (Campo);#B8AF4F;12
2.3. Apicum;#968c46;32
2.4. Afloramento Rochoso;#FF8C00;29
2.5. Outra Formação não Florestal;#BDB76B;13
3. Agropecuária;#FFFFB2;14
3.1. Pastagem;#FFD966;15
;#F6B26B;16
3.2. Agricultura;#f99f40;17
3.2.1. Lavoura Temporária;#D5A6BD;19
3.2.3. Cultura Perene;#C27BA0;36
3.3 Mosaico de Agricultura ou Pastagem;#FFEFC3;21
4. Área não Vegetada;#EA9999;22
4.1. Infraestrutura Urbana;#af2a2a;24
4.2. Mineração;#8A2BE2;30
4.3. Praia e Duna;#DD7E6B;23
4.4. Outra Área não Vegetada;#FF99FF;25
5. Corpo D'água;#0000FF;26
5.1. Rio, Lago e Oceano;#0000FF;33
5.2. Aquicultura;#29EEE4;31
6. Não Observado;#D5D5E5;27
